"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)";"Bouwen en wonen/Woningvoorraad/Voorraad op 1 januari (aantal)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Totale oppervlakte (km²)"
"2020";"Aa en Hunze";"   25445";"   21985";"    53.6";"      92";"   11179";"  278.87"
"2020";"Aalburg";"";"";"";"";"";""
"2020";"Aalsmeer";"   31859";"   26282";"    49.7";"    1584";"   13217";"   32.29"
"2020";"Aalten";"   27121";"   22904";"    51.6";"     281";"   11976";"   97.05"
"2020";"Ter Aar";"";"";"";"";"";""
"2020";"Aarle-Rixtel";"";"";"";"";"";""
"2020";"Abcoude";"";"";"";"";"";""
"2020";"Achtkarspelen";"   27843";"   23003";"    51.5";"     272";"   12129";"  103.98"
"2020";"Akersloot";"";"";"";"";"";""
"2020";"Alblasserdam";"   20165";"   16279";"    55.2";"    2297";"    8353";"   10.06"
"2020";"Albrandswaard";"   25590";"   21044";"    52.4";"    1180";"   10517";"   23.76"
"2020";"Alkemade";"";"";"";"";"";""
"2020";"Alkmaar";"  109436";"   92661";"    42.5";"     991";"   51339";"  117.35"
"2020";"Almelo";"   73107";"   61547";"    46.4";"    1087";"   33549";"   69.41"
"2020";"Almere";"  211893";"  172472";"    44.2";"    1640";"   85977";"  248.77"
"2020";"Alphen aan den Rijn";"  111897";"   93575";"    49.5";"     886";"   48178";"  132.50"
"2020";"Alphen en Riel";"";"";"";"";"";""
"2020";"Alphen-Chaam";"   10203";"    8698";"    55.3";"     110";"    4371";"   93.52"
"2020";"Altena";"   55967";"   46176";"    56.8";"     279";"   22399";"  226.64"
"2020";"Ambt Delden";"";"";"";"";"";""
"2020";"Ambt Montfort";"";"";"";"";"";""
"2020";"Ameland";"    3716";"    3136";"    49.9";"      63";"    1737";"  268.50"
"2020";"Amerongen";"";"";"";"";"";""
"2020";"Amersfoort";"  157276";"  128770";"    45.5";"    2512";"   67722";"   63.86"
"2020";"Ammerzoden";"";"";"";"";"";""
"2020";"Amstelveen";"   91675";"   75600";"    46.3";"    2229";"   42310";"   44.08"
"2020";"Amsterdam";"  872757";"  747638";"    28.5";"    5273";"  447351";"  219.49"
"2020";"Andijk";"";"";"";"";"";""
"2020";"Angerlo";"";"";"";"";"";""
"2020";"Anloo";"";"";"";"";"";""
"2020";"Anna Paulowna";"";"";"";"";"";""
"2020";"Apeldoorn";"  163818";"  138377";"    48.3";"     482";"   73244";"  341.15"
"2020";"Appingedam";"   11642";"   10010";"    47.9";"     490";"    6042";"   24.58"
"2020";"Arcen en Velden";"";"";"";"";"";""
"2020";"Arnemuiden";"";"";"";"";"";""
"2020";"Arnhem";"  161348";"  136138";"    35.6";"    1649";"   76737";"  101.54"
"2020";"Assen";"   68599";"   57623";"    45.5";"     838";"   32154";"   83.45"
"2020";"Asten";"   16721";"   14242";"    52.1";"     238";"    6899";"   71.34"
"2020";"Avereest";"";"";"";"";"";""
"2020";"Axel";"";"";"";"";"";""
"2020";"Baarle-Nassau";"    6859";"    5923";"    51.8";"      90";"    2875";"   76.29"
"2020";"Baarn";"   24868";"   20969";"    45.5";"     764";"   11679";"   33.01"
"2020";"Bakel en Milheeze";"";"";"";"";"";""
"2020";"Barendrecht";"   48714";"   39953";"    53.5";"    2467";"   19416";"   21.73"
"2020";"Barneveld";"   59082";"   46445";"    57.9";"     336";"   22799";"  176.66"
"2020";"Bathmen";"";"";"";"";"";""
"2020";"Bedum";"";"";"";"";"";""
"2020";"Beek (L.)";"   15865";"   13937";"    52.7";"     754";"    7488";"   21.03"
"2020";"Beek en Donk";"";"";"";"";"";""
"2020";"Beekdaelen";"   35938";"   31311";"    53.7";"     459";"   16635";"   78.49"
"2020";"Beemster";"   10022";"    8282";"    50.9";"     142";"    4036";"   72.07"
"2020";"Beesel";"   13482";"   11611";"    54.0";"     482";"    5965";"   29.15"
"2020";"Beilen";"";"";"";"";"";""
"2020";"Belfeld";"";"";"";"";"";""
"2020";"Bellingwedde";"";"";"";"";"";""
"2020";"Bemmel";"";"";"";"";"";""
"2020";"Bennebroek";"";"";"";"";"";""
"2020";"Berg en Dal";"   34992";"   30366";"    48.8";"     405";"   15802";"   93.28"
"2020";"Bergambacht";"";"";"";"";"";""
"2020";"Bergeijk";"   18635";"   15954";"    53.6";"     184";"    7970";"  101.75"
"2020";"Bergen (L.)";"   13085";"   11379";"    52.4";"     127";"    5760";"  108.50"
"2020";"Bergen (NH.)";"   29839";"   26310";"    48.5";"     302";"   15344";"  120.23"
"2020";"Bergen op Zoom";"   67496";"   57467";"    49.9";"     844";"   30884";"   93.13"
"2020";"Bergeyk";"";"";"";"";"";""
"2020";"Bergh";"";"";"";"";"";""
"2020";"Bergschenhoek";"";"";"";"";"";""
"2020";"Berkel en Rodenrijs";"";"";"";"";"";""
"2020";"Berkel-Enschot";"";"";"";"";"";""
"2020";"Berkelland";"   43747";"   37570";"    53.0";"     170";"   19525";"  260.21"
"2020";"Berlicum";"";"";"";"";"";""
"2020";"Bernheze";"   31240";"   26396";"    52.2";"     348";"   12714";"   90.41"
"2020";"Bernisse";"";"";"";"";"";""
"2020";"Best";"   29988";"   25408";"    51.6";"     874";"   12698";"   35.10"
"2020";"Beuningen";"   25890";"   22040";"    51.5";"     593";"   11137";"   47.09"
"2020";"Beverwijk";"   41626";"   34996";"    44.1";"    2262";"   19403";"   20.09"
"2020";"het Bildt";"";"";"";"";"";""
"2020";"De Bilt";"   43137";"   35895";"    47.8";"     652";"   19577";"   67.13"
"2020";"Binnenmaas";"";"";"";"";"";""
"2020";"Bladel";"   20390";"   17347";"    51.4";"     271";"    8746";"   75.62"
"2020";"Bladel en Netersel";"";"";"";"";"";""
"2020";"Blaricum";"   11540";"    9408";"    53.7";"    1038";"    5075";"   15.56"
"2020";"Bleiswijk";"";"";"";"";"";""
"2020";"Bloemendaal";"   23571";"   19430";"    52.1";"     592";"   10034";"   45.23"
"2020";"Boarnsterhim";"";"";"";"";"";""
"2020";"Bodegraven";"";"";"";"";"";""
"2020";"Bodegraven-Reeuwijk";"   34872";"   28757";"    54.0";"     463";"   14499";"   88.64"
"2020";"Boekel";"   10785";"    9038";"    50.7";"     313";"    4248";"   34.52"
"2020";"Ten Boer";"";"";"";"";"";""
"2020";"Bolsward";"";"";"";"";"";""
"2020";"Borculo";"";"";"";"";"";""
"2020";"Borger";"";"";"";"";"";""
"2020";"Borger-Odoorn";"   25559";"   22023";"    54.8";"      93";"   11374";"  277.89"
"2020";"Born";"";"";"";"";"";""
"2020";"Borne";"   23312";"   19265";"    54.2";"     897";"    9954";"   26.16"
"2020";"Borsele";"   22739";"   18898";"    54.8";"     161";"    9821";"  194.52"
"2020";"Boskoop";"";"";"";"";"";""
"2020";"Boxmeer";"   29365";"   25325";"    51.1";"     263";"   12568";"  113.84"
"2020";"Boxtel";"   30801";"   26104";"    49.6";"     483";"   13401";"   64.85"
"2020";"Brakel";"";"";"";"";"";""
"2020";"Breda";"  184069";"  155704";"    40.4";"    1464";"   84567";"  128.68"
"2020";"Brederwiede";"";"";"";"";"";""
"2020";"Breukelen";"";"";"";"";"";""
"2020";"Brielle";"   17271";"   14870";"    51.3";"     627";"    8029";"   31.14"
"2020";"Broekhuizen";"";"";"";"";"";""
"2020";"Bronckhorst";"   36055";"   31302";"    52.7";"     127";"   16198";"  286.42"
"2020";"Brouwershaven";"";"";"";"";"";""
"2020";"Bruinisse";"";"";"";"";"";""
"2020";"Brummen";"   20726";"   17951";"    53.9";"     248";"    9348";"   85.01"
"2020";"Brunssum";"   27821";"   24316";"    47.6";"    1613";"   14493";"   17.34"
"2020";"Budel";"";"";"";"";"";""
"2020";"Bunnik";"   15191";"   12458";"    52.7";"     411";"    6392";"   37.57"
"2020";"Bunschoten";"   21866";"   17609";"    60.9";"     720";"    8536";"   34.81"
"2020";"Buren";"   26749";"   22599";"    55.1";"     200";"   10829";"  142.92"
"2020";"Bussum";"";"";"";"";"";""
"2020";"Capelle aan den IJssel";"   67122";"   56384";"    44.6";"    4747";"   31270";"   15.40"
"2020";"Castricum";"   35986";"   30780";"    49.7";"     724";"   16056";"   60.40"
"2020";"Chaam";"";"";"";"";"";""
"2020";"Coevorden";"   35297";"   30163";"    52.5";"     119";"   15555";"  299.69"
"2020";"Cothen";"";"";"";"";"";""
"2020";"Cranendonck";"   21138";"   18095";"    52.2";"     277";"    9007";"   78.05"
"2020";"Cromstrijen";"";"";"";"";"";""
"2020";"Cuijk";"   25130";"   21457";"    49.1";"     491";"   11193";"   57.07"
"2020";"Culemborg";"   28955";"   24161";"    48.5";"     989";"   12530";"   31.14"
"2020";"Dalen";"";"";"";"";"";""
"2020";"Dalfsen";"   28587";"   23787";"    56.3";"     173";"   11889";"  166.52"
"2020";"Dantumadeel";"";"";"";"";"";""
"2020";"Dantumadiel";"   18922";"   15820";"    54.3";"     224";"    8164";"   87.53"
"2020";"Delft";"  103595";"   90842";"    33.0";"    4573";"   50904";"   24.06"
"2020";"Delfzijl";"   24678";"   21231";"    49.1";"     185";"   12223";"  227.50"
"2020";"Denekamp";"";"";"";"";"";""
"2020";"Deurne";"   32471";"   27560";"    51.2";"     278";"   13955";"  118.36"
"2020";"Deventer";"  100719";"   84551";"    44.3";"     771";"   45988";"  134.33"
"2020";"Didam";"";"";"";"";"";""
"2020";"Diemen";"   30780";"   26195";"    36.5";"    2566";"   15015";"   14.04"
"2020";"Diepenheim";"";"";"";"";"";""
"2020";"Diepenveen";"";"";"";"";"";""
"2020";"Diessen";"";"";"";"";"";""
"2020";"Diever";"";"";"";"";"";""
"2020";"Dinkelland";"   26461";"   22512";"    53.0";"     151";"   10939";"  176.83"
"2020";"Dinteloord en Prinsenland";"";"";"";"";"";""
"2020";"Dinxperlo";"";"";"";"";"";""
"2020";"Dirksland";"";"";"";"";"";""
"2020";"Dodewaard";"";"";"";"";"";""
"2020";"Doesburg";"   11077";"    9677";"    50.3";"     961";"    5293";"   12.96"
"2020";"Doetinchem";"   58001";"   49149";"    47.4";"     734";"   26129";"   79.66"
"2020";"Domburg";"";"";"";"";"";""
"2020";"Dongen";"   26222";"   22264";"    52.0";"     897";"   11289";"   29.74"
"2020";"Dongeradeel";"";"";"";"";"";""
"2020";"Doorn";"";"";"";"";"";""
"2020";"Dordrecht";"  119284";"  100681";"    45.6";"    1519";"   55279";"   99.47"
"2020";"Drechterland";"   19719";"   16575";"    52.4";"     335";"    8373";"   80.59"
"2020";"Driebergen-Rijsenburg";"";"";"";"";"";""
"2020";"Drimmelen";"   27272";"   23451";"    52.9";"     287";"   11761";"  119.43"
"2020";"Dronten";"   41555";"   34597";"    53.1";"     125";"   17390";"  423.89"
"2020";"Drunen";"";"";"";"";"";""
"2020";"Druten";"   18926";"   16044";"    49.9";"     503";"    8126";"   42.46"
"2020";"Duiveland";"";"";"";"";"";""
"2020";"Duiven";"   25126";"   21438";"    52.9";"     741";"   10743";"   35.19"
"2020";"Den Dungen";"";"";"";"";"";""
"2020";"Dussen";"";"";"";"";"";""
"2020";"Dwingeloo";"";"";"";"";"";""
"2020";"Echt";"";"";"";"";"";""
"2020";"Echteld";"";"";"";"";"";""
"2020";"Echt-Susteren";"   31610";"   27718";"    50.4";"     307";"   14595";"  104.62"
"2020";"Edam-Volendam";"   36197";"   30496";"    53.4";"     666";"   15120";"   80.00"
"2020";"Ede";"  117165";"   96276";"    52.8";"     368";"   49152";"  318.62"
"2020";"Eelde";"";"";"";"";"";""
"2020";"Eemnes";"    9247";"    7774";"    49.5";"     298";"    4008";"   33.70"
"2020";"Eemsmond";"";"";"";"";"";""
"2020";"Eersel";"   19313";"   16454";"    52.6";"     234";"    8402";"   83.33"
"2020";"Egmond";"";"";"";"";"";""
"2020";"Eibergen";"";"";"";"";"";""
"2020";"Eijsden";"";"";"";"";"";""
