# Bron: https://www.cbs.nl/nl-nl/maatwerk/2015/20/religie-en-kerkbezoek-naar-gemeente-2010-2014
# Kerkelijke gezindte en kerkbezoek in 403 gemeenten, 2010/2014 (18 jaar en ouder 1)
# Kolom "Maandelijks%" is bevolkingsdeel dan minimaal 1x per maand een religieuze dienst bezoekt.
Provincie,Gemeente,Gemcode,Maandelijks%,Religieus%,dummy,Katholiek%,Hervormd%,Gereformeerd%,PKN%,Islam%,Joods%,Hindoe%,Boeddhist%,Anders%
Groningen,Appingedam,3,10.3,44.7,,3.2,11.4,8.2,10.9,3.4,0.0,0.0,0.3,7.4
Groningen,Bedum,5,38.1,52.5,,3.3,3.7,17.6,24.6,0.4,0.0,0.0,0.0,2.9
Groningen,Bellingwedde,7,7.7,33.1,,8.0,15.6,0.4,1.1,0.4,0.0,0.0,0.0,8.0
Groningen,De Marne,1663,20.4,49.4,,8.9,11.1,14.6,11.7,0.6,0.0,0.0,0.6,1.6
Groningen,Delfzijl,10,12.3,33.9,,6.4,7.4,3.4,8.0,3.2,0.0,0.2,0.2,5.3
Groningen,Eemsmond,1651,25.4,42.2,,5.0,6.9,14.3,12.6,0.2,0.0,0.0,0.0,3.2
Groningen,Groningen,14,11.1,29.7,,6.2,3.7,5.6,5.2,2.5,0.1,0.6,0.4,5.4
Groningen,Grootegast,15,45.0,65.1,,1.8,6.7,26.4,27.6,0.0,0.0,0.0,0.0,2.5
Groningen,Haren,17,18.4,39.1,,6.5,8.9,10.0,7.1,0.4,0.0,0.0,0.6,5.4
Groningen,Hoogezand-Sappemeer,18,12.4,32.4,,5.5,8.0,3.8,2.3,5.2,0.0,0.1,0.2,7.2
Groningen,Leek,22,18.4,43.1,,1.9,7.7,8.5,18.0,0.4,0.0,0.0,0.0,6.6
Groningen,Loppersum,24,25.7,47.3,,6.9,7.2,15.4,13.5,0.0,0.0,0.0,0.3,4.1
Groningen,Marum,25,14.3,37.8,,3.8,13.9,7.6,10.5,0.0,0.0,0.0,0.0,2.1
Groningen,Menterwolde,1987,4.3,20.2,,4.0,4.6,6.1,2.8,0.3,0.0,0.0,0.3,2.1
Groningen,Oldambt,1895,9.7,30.7,,3.2,10.9,2.5,6.9,0.3,0.0,0.8,0.0,6.2
