Date_file,Midden:0-19,Midden:20+,Midden:Other,Noord:0-19,Noord:20+,Noord:Other,Zuid:0-19,Zuid:20+,Zuid:Other
2020-07-01,645,21313,26,310,12603,6,221,15194,17
2020-07-02,650,21347,26,316,12621,6,223,15206,17
2020-07-03,653,21379,27,321,12642,6,223,15219,17
2020-07-04,660,21405,27,321,12655,6,224,15233,17
2020-07-05,667,21440,27,326,12668,6,227,15243,17
2020-07-06,669,21466,27,326,12672,6,227,15247,17
2020-07-07,672,21477,27,328,12681,6,229,15257,17
2020-07-08,679,21492,27,330,12697,6,230,15268,17
2020-07-09,685,21522,27,331,12702,6,230,15278,17
2020-07-10,687,21538,27,333,12711,6,230,15291,17
2020-07-11,692,21580,27,337,12725,6,232,15305,17
2020-07-12,699,21637,27,341,12735,6,234,15326,17
2020-07-13,704,21670,27,341,12752,6,235,15341,17
2020-07-14,712,21727,27,343,12760,6,238,15316,17
2020-07-15,719,21787,27,346,12778,6,243,15329,17
2020-07-16,725,21831,27,350,12802,6,247,15346,17
2020-07-17,732,21880,27,356,12819,6,253,15364,17
2020-07-18,737,21937,27,362,12843,6,258,15394,17
2020-07-19,743,22000,27,373,12881,6,268,15410,17
2020-07-20,756,22093,27,378,12922,6,276,15435,17
2020-07-21,765,22186,28,384,12958,6,281,15448,17
2020-07-22,773,22273,28,389,12996,6,286,15473,17
2020-07-23,787,22368,28,392,13030,6,293,15483,17
2020-07-24,796,22472,27,402,13067,6,298,15510,17
2020-07-25,802,22539,27,403,13106,6,301,15531,17
2020-07-26,809,22659,27,408,13154,6,304,15562,17
2020-07-27,821,22754,27,418,13214,6,310,15584,17
2020-07-28,835,22865,27,420,13266,6,315,15623,17
2020-07-29,845,22995,27,423,13320,6,329,15659,17
2020-07-30,865,23161,27,439,13403,6,338,15707,17
2020-07-31,891,23340,27,450,13483,6,348,15739,17
2020-08-01,920,23565,27,456,13592,6,354,15795,17
2020-08-02,948,23759,27,466,13657,6,367,15851,17
2020-08-03,973,23949,27,474,13741,6,372,15911,17
2020-08-04,984,24166,27,486,13920,6,381,15968,17
2020-08-05,1018,24382,27,496,14021,6,390,16024,17
2020-08-06,1051,24660,27,518,14222,6,397,16084,17
2020-08-07,1085,24918,27,527,14357,6,408,16156,17
2020-08-08,1120,25123,27,548,14497,6,422,16227,17
2020-08-09,1147,25412,27,564,14633,6,442,16316,17
2020-08-10,1191,25679,27,591,14847,6,452,16384,17
2020-08-11,1239,25997,27,624,15072,6,470,16521,17
2020-08-12,1280,26331,27,650,15249,6,477,16590,17
2020-08-13,1323,26616,27,671,15399,6,481,16664,17
2020-08-14,1347,26886,27,692,15630,6,496,16739,17
2020-08-15,1384,27170,27,717,15827,6,519,16828,17
2020-08-16,1402,27388,27,745,15967,6,550,16900,17
2020-08-17,1434,27565,27,771,16146,6,567,16951,17
2020-08-18,1460,27745,27,793,16325,6,578,17022,17
2020-08-19,1497,27974,27,820,16497,6,596,17091,17
2020-08-20,1531,28179,27,848,16679,6,607,17160,17
2020-08-21,1564,28378,27,871,16848,6,621,17257,17
2020-08-22,1596,28616,27,894,16961,6,632,17348,17
2020-08-23,1628,28786,27,908,17095,6,643,17444,17
2020-08-24,1673,29012,27,935,17260,6,662,17536,17
2020-08-25,1696,29148,27,954,17413,6,676,17606,17
2020-08-26,1729,29394,27,974,17562,6,700,17705,17
2020-08-27,1762,29610,27,987,17708,7,710,17796,17
2020-08-28,1793,29809,27,1015,17846,7,735,17882,17
2020-08-29,1823,29988,27,1030,17999,7,749,17992,17
2020-08-30,1857,30244,27,1043,18119,7,760,18066,17
2020-08-31,1897,30448,27,1065,18284,7,772,18150,17
2020-09-01,1946,30639,27,1074,18426,7,787,18206,17
2020-09-02,2009,30976,27,1102,18637,8,800,18287,17
2020-09-03,2054,31248,27,1118,18821,8,809,18362,17
2020-09-04,2111,31583,27,1145,19035,8,830,18452,17
2020-09-05,2164,31842,27,1172,19237,8,850,18545,17
2020-09-06,2233,32295,27,1204,19474,8,874,18655,17
2020-09-07,2294,32646,27,1244,19713,8,897,18738,17
2020-09-08,2362,33077,27,1299,20006,8,917,18835,17
2020-09-09,2455,33632,27,1341,20310,8,942,18956,17
2020-09-10,2505,33996,27,1376,20568,8,957,19057,17
2020-09-11,2604,34614,27,1433,20914,8,985,19179,17
2020-09-12,2684,35206,27,1482,21268,8,1010,19310,17
2020-09-13,2758,35625,27,1537,21637,9,1048,19441,17
2020-09-14,2878,36218,27,1596,22015,9,1071,19568,17
2020-09-15,2993,36790,27,1678,22480,9,1093,19691,17
2020-09-16,3119,37484,27,1756,22957,9,1121,19830,17
2020-09-17,3262,38254,28,1833,23483,9,1151,20036,17
2020-09-18,3414,39115,28,1923,24111,9,1200,20230,17
2020-09-19,3548,39845,28,2011,24751,9,1258,20467,17
2020-09-20,3692,40627,28,2112,25372,9,1286,20635,17
2020-09-21,3897,41635,28,2195,25987,9,1331,20896,17
2020-09-22,4089,42515,28,2307,26741,9,1389,21145,17
2020-09-23,4260,43517,28,2416,27418,9,1454,21478,17
2020-09-24,4491,44579,28,2531,28147,9,1520,21819,17
2020-09-25,4672,45752,28,2649,29039,9,1587,22165,17
2020-09-26,4871,46955,28,2762,29893,11,1638,22456,17
