# Samenstelling huishoudens per gemeente (2020)
# Bron: CBS - https://opendata.cbs.nl/statline/#/CBS/nl/dataset/71486NED/table?fromstatweb
# Kolommen:
#   Totaal particuliere huishoudens (aantal)
#   eenpersoonshuishouden (aantal)
#   Totaal meerpersoonshuishoudens (aantal)
#   Totaal niet-gehuwde paren (aantal)
#   Totaal gehuwde paren (aantal)
#   Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)
#   Meerpersoonshuishouden/2 personen (aantal)
#   Meerpersoonshuishouden/3 personen (aantal)
#   Meerpersoonshuishouden/4 personen (aantal)
#   Meerpersoonshuishouden/5 of meer personen (aantal)
Gemeente,Jaar,nHH,n1PHH,nMPHH,nPaarNietGehuwd,nPaarGehuwd,nEenOuder,n2PHH,n3pHH,n4PHH,n5PHH
Aa en Hunze,2020,11160.0,3236.0,7924.0,1549.0,5765.0,581.0,4653.0,1324.0,1475.0,472.0
Achtkarspelen,2020,11757.0,3573.0,8184.0,1484.0,5814.0,838.0,4157.0,1476.0,1729.0,822.0
Almelo,2020,32714.0,11963.0,20751.0,3939.0,13923.0,2727.0,10677.0,4074.0,4275.0,1725.0
Almere,2020,89319.0,28774.0,60545.0,12382.0,36769.0,10863.0,27062.0,14787.0,13268.0,5428.0
Ambt Delden,2020,,,,,,,,,,
Ameland,2020,1732.0,674.0,1058.0,207.0,753.0,82.0,586.0,188.0,175.0,109.0
Appingedam,2020,5528.0,2094.0,3434.0,591.0,2339.0,484.0,2020.0,654.0,570.0,190.0
Assen,2020,31371.0,12100.0,19271.0,3846.0,12724.0,2610.0,10565.0,3527.0,3693.0,1486.0
Avereest,2020,,,,,,,,,,
Bathmen,2020,,,,,,,,,,
Bedum,2020,,,,,,,,,,
Bellingwedde,2020,,,,,,,,,,
het Bildt,2020,,,,,,,,,,
Boarnsterhim,2020,,,,,,,,,,
Ten Boer,2020,,,,,,,,,,
Bolsward,2020,,,,,,,,,,
Borger-Odoorn,2020,11232.0,3140.0,8092.0,1526.0,5922.0,609.0,4778.0,1353.0,1456.0,505.0
Borne,2020,9738.0,2724.0,7014.0,1252.0,5137.0,605.0,3624.0,1215.0,1624.0,551.0
Brederwiede,2020,,,,,,,,,,
Coevorden,2020,15501.0,4904.0,10597.0,1870.0,7678.0,1008.0,5950.0,1813.0,2057.0,777.0
Dalfsen,2020,11609.0,3134.0,8475.0,1310.0,6556.0,569.0,4293.0,1360.0,1827.0,995.0
Dantumadeel,2020,,,,,,,,,,
Dantumadiel,2020,7782.0,2292.0,5490.0,829.0,4204.0,435.0,2765.0,1015.0,1122.0,588.0
Delfzijl,2020,11591.0,4364.0,7227.0,1214.0,5039.0,926.0,4251.0,1346.0,1209.0,421.0
Denekamp,2020,,,,,,,,,,
Deventer,2020,46648.0,18296.0,28352.0,6486.0,18118.0,3558.0,15077.0,5272.0,5867.0,2136.0
Diepenheim,2020,,,,,,,,,,
Dinkelland,2020,10361.0,2704.0,7657.0,1300.0,5809.0,501.0,3654.0,1299.0,1742.0,962.0
Dongeradeel,2020,,,,,,,,,,
Dronten,2020,17532.0,5323.0,12209.0,2064.0,8912.0,1167.0,6355.0,2323.0,2441.0,1090.0
Eemsmond,2020,,,,,,,,,,
Emmen,2020,48631.0,16900.0,31731.0,6189.0,21610.0,3746.0,17609.0,6035.0,6047.0,2040.0
Enschede,2020,79459.0,36748.0,42711.0,10237.0,26117.0,5864.0,23239.0,8213.0,8222.0,3037.0
Ferwerderadiel,2020,,,,,,,,,,
Franekeradeel,2020,,,,,,,,,,
De Friese Meren,2020,,,,,,,,,,
De Fryske Marren,2020,22230.0,6979.0,15251.0,3011.0,10919.0,1252.0,8238.0,2573.0,2955.0,1485.0
Gaasterlân-Sleat,2020,,,,,,,,,,
Genemuiden,2020,,,,,,,,,,
Goor,2020,,,,,,,,,,
Gramsbergen,2020,,,,,,,,,,
Groningen (gemeente),2020,136383.0,80637.0,55746.0,19960.0,26788.0,7730.0,33949.0,9795.0,8700.0,3302.0
Grootegast,2020,,,,,,,,,,
Haaksbergen,2020,10217.0,2978.0,7239.0,1395.0,5218.0,584.0,3807.0,1210.0,1581.0,641.0
Den Ham,2020,,,,,,,,,,
Hardenberg,2020,24358.0,6889.0,17469.0,2903.0,13083.0,1376.0,8517.0,2962.0,3793.0,2197.0
Haren,2020,,,,,,,,,,
Harlingen,2020,7484.0,2960.0,4524.0,890.0,3044.0,566.0,2618.0,804.0,768.0,334.0
Hasselt,2020,,,,,,,,,,
Heerenveen,2020,22895.0,8261.0,14634.0,3139.0,9768.0,1645.0,7903.0,2620.0,2955.0,1156.0
Heino,2020,,,,,,,,,,
Hellendoorn,2020,14721.0,4132.0,10589.0,1722.0,7983.0,838.0,5374.0,1816.0,2367.0,1032.0
Hengelo (O.),2020,38016.0,14982.0,23034.0,4658.0,15407.0,2791.0,12463.0,4217.0,4604.0,1750.0
Hof van Twente,2020,14937.0,4537.0,10400.0,1880.0,7655.0,819.0,5565.0,1671.0,2200.0,964.0
Het Hogeland,2020,21434.0,7402.0,14032.0,2444.0,10047.0,1479.0,7844.0,2458.0,2516.0,1214.0
Holten,2020,,,,,,,,,,
Hoogeveen,2020,24351.0,8409.0,15942.0,2743.0,11297.0,1808.0,8499.0,2779.0,3236.0,1428.0
Hoogezand-Sappemeer,2020,,,,,,,,,,
IJsselham,2020,,,,,,,,,,
IJsselmuiden,2020,,,,,,,,,,
Kampen,2020,22217.0,7001.0,15216.0,1977.0,11799.0,1357.0,7344.0,2644.0,3180.0,2048.0
Kollumerland en Nieuwkruisland,2020,,,,,,,,,,
Leek,2020,,,,,,,,,,
Leeuwarden,2020,63338.0,29791.0,33547.0,8894.0,19587.0,4712.0,19315.0,6078.0,5897.0,2257.0
Leeuwarderadeel,2020,,,,,,,,,,
Lelystad,2020,34338.0,11788.0,22550.0,4709.0,14056.0,3609.0,11255.0,4827.0,4336.0,2132.0
Lemsterland,2020,,,,,,,,,,
Littenseradiel,2020,,,,,,,,,,
Loppersum,2020,4297.0,1410.0,2887.0,561.0,2048.0,258.0,1683.0,471.0,488.0,245.0
Losser,2020,9392.0,2598.0,6794.0,1108.0,5041.0,608.0,3586.0,1200.0,1451.0,557.0
Markelo,2020,,,,,,,,,,
De Marne,2020,,,,,,,,,,
Marum,2020,,,,,,,,,,
Menaldumadeel,2020,,,,,,,,,,
Menameradiel,2020,,,,,,,,,,
Menterwolde,2020,,,,,,,,,,
Meppel,2020,15424.0,5657.0,9767.0,1846.0,6639.0,1223.0,5329.0,1687.0,1981.0,770.0
Midden-Drenthe,2020,14485.0,4384.0,10101.0,1829.0,7385.0,833.0,5662.0,1755.0,1940.0,744.0
Midden-Groningen,2020,27754.0,9620.0,18134.0,3661.0,12161.0,2196.0,10268.0,3449.0,3268.0,1149.0
Nieuwleusen,2020,,,,,,,,,,
Nijefurd,2020,,,,,,,,,,
Noardeast-Fryslân,2020,19440.0,6449.0,12991.0,2344.0,9339.0,1250.0,6767.0,2180.0,2623.0,1421.0
Noordenveld,2020,13911.0,4272.0,9639.0,1867.0,6842.0,898.0,5635.0,1637.0,1756.0,611.0
Noordoostpolder,2020,19422.0,5963.0,13459.0,2312.0,9813.0,1260.0,6846.0,2382.0,2652.0,1579.0
Oldambt,2020,18111.0,6737.0,11374.0,2092.0,7852.0,1369.0,6676.0,2174.0,1921.0,603.0
Oldenzaal,2020,14035.0,4756.0,9279.0,1765.0,6525.0,947.0,4905.0,1573.0,2045.0,756.0
Olst,2020,,,,,,,,,,
Olst-Wijhe,2020,7567.0,2100.0,5467.0,989.0,4025.0,420.0,2891.0,929.0,1173.0,474.0
Ommen,2020,7467.0,2250.0,5217.0,814.0,3986.0,382.0,2734.0,840.0,1007.0,636.0
