Municipality,Population,Province,HolRegion
Aa en Hunze,25445,Drenthe,Noord
Aalsmeer,31859,Noord-Holland,Noord
Aalten,27121,Gelderland,Midden
Achtkarspelen,27843,Friesland,Noord
Alblasserdam,20165,Zuid-Holland,Midden
Albrandswaard,25590,Zuid-Holland,Midden
Alkmaar,109436,Noord-Holland,Noord
Almelo,73107,Overijssel,Noord
Almere,211893,Flevoland,Noord
Alphen aan den Rijn,111897,Zuid-Holland,Midden
Alphen-Chaam,10203,Noord-Brabant,Zuid
Altena,55967,Noord-Brabant,Zuid
Ameland,3716,Friesland,Noord
Amersfoort,157276,Utrecht,Midden
Amstelveen,91675,Noord-Holland,Noord
Amsterdam,872757,Noord-Holland,Noord
Apeldoorn,163818,Gelderland,Midden
Appingedam,11642,Groningen,Noord
Arnhem,161348,Gelderland,Zuid
Assen,68599,Drenthe,Noord
Asten,16721,Noord-Brabant,Zuid
Baarle-Nassau,6859,Noord-Brabant,Zuid
Baarn,24868,Utrecht,Midden
Barendrecht,48714,Zuid-Holland,Midden
Barneveld,59082,Gelderland,Midden
Beek,15865,Limburg,Zuid
Beekdaelen,35938,Limburg,Zuid
Beemster,10022,Noord-Holland,Noord
Beesel,13482,Limburg,Zuid
Berg en Dal,34992,Gelderland,Zuid
Bergeijk,18635,Noord-Brabant,Zuid
Bergen (L.),13085,Limburg,Zuid
Bergen (NH.),29839,Noord-Holland,Noord
Bergen op Zoom,67496,Noord-Brabant,Zuid
Berkelland,43747,Gelderland,Midden
Bernheze,31240,Noord-Brabant,Zuid
Best,29988,Noord-Brabant,Zuid
Beuningen,25890,Gelderland,Zuid
Beverwijk,41626,Noord-Holland,Noord
De Bilt,43137,Utrecht,Midden
Bladel,20390,Noord-Brabant,Zuid
Blaricum,11540,Noord-Holland,Noord
Bloemendaal,23571,Noord-Holland,Noord
Bodegraven-Reeuwijk,34872,Zuid-Holland,Midden
Boekel,10785,Noord-Brabant,Zuid
Borger-Odoorn,25559,Drenthe,Noord
Borne,23312,Overijssel,Noord
Borsele,22739,Zeeland,Zuid
Boxmeer,29365,Noord-Brabant,Zuid
Boxtel,30801,Noord-Brabant,Zuid
Breda,184069,Noord-Brabant,Zuid
Brielle,17271,Zuid-Holland,Midden
Bronckhorst,36055,Gelderland,Midden
Brummen,20726,Gelderland,Midden
Brunssum,27821,Limburg,Zuid
Bunnik,15191,Utrecht,Midden
Bunschoten,21866,Utrecht,Midden
Buren,26749,Gelderland,Midden
Capelle aan den IJssel,67122,Zuid-Holland,Midden
Castricum,35986,Noord-Holland,Noord
Coevorden,35297,Drenthe,Noord
Cranendonck,21138,Noord-Brabant,Zuid
Cuijk,25130,Noord-Brabant,Zuid
Culemborg,28955,Gelderland,Midden
Dalfsen,28587,Overijssel,Noord
Dantumadiel,18922,Friesland,Noord
Delft,103595,Zuid-Holland,Midden
Delfzijl,24678,Groningen,Noord
Deurne,32471,Noord-Brabant,Zuid
Deventer,100719,Overijssel,Noord
Diemen,30780,Noord-Holland,Noord
Dinkelland,26461,Overijssel,Noord
