Date,Rt_update
2020-06-19,0.96
2020-06-26,0.92
2020-07-03,1.36
2020-07-10,1.39
2020-07-17,1.26
2020-07-24,1.43
2020-07-31,1.25
2020-08-07,0.97
2020-08-14,0.95
2020-08-21,1.1
2020-08-28,1.36
2020-09-04,1.32
2020-09-11,1.28
2020-09-18,1.19
2020-09-25,1.32
2020-10-02,1.21
2020-10-09,1.13
2020-10-16,1.08
2020-10-23,0.9
2020-10-30,0.86
2020-11-06,0.99
2020-11-13,1.01
2020-11-20,1.0
2020-11-27,1.24
2020-12-04,1.25
2020-12-11,1.15
2020-12-18,0.91
2020-12-25,0.95
2021-01-01,0.98
2021-01-08,0.93
2021-01-15,0.97
2021-01-22,0.91
2021-01-29,0.96
2021-02-05,0.99
2021-02-12,1.14
2021-02-18,1.04
2021-02-22,0.98
2021-02-25,1.01
2021-03-01,1.06
2021-03-04,1.13
2021-03-08,1.11
2021-03-11,1.08
2021-03-15,1.07
2021-03-18,1.06
2021-03-22,1.01
2021-03-25,0.96
2021-03-29,0.97
2021-04-01,1.0
2021-04-05,1.06
2021-04-08,1.03
2021-04-12,1.05
2021-04-15,1.03
2021-04-19,0.94
2021-04-22,0.93
2021-04-26,1.01
2021-04-29,0.95
2021-05-03,0.89
2021-05-06,0.86
2021-05-10,0.82
2021-05-13,0.85
2021-05-17,0.82
2021-05-20,0.86
2021-05-24,0.9
2021-05-27,0.83
2021-05-31,0.78
2021-06-03,0.75
2021-06-07,0.77
2021-06-10,0.79
