# Percentage of positive individuals from Walker https://doi.org/10.1101/2021.01.13.21249721
# Note: divide by duration of positive (28 days?) to get per-day numbers.
,pct_sgtf,pct_othr,index
2020-10-06,0.031,0.231,2020-10-06
2020-10-13,0.042,0.306,2020-10-13
2020-10-20,0.059,0.395,2020-10-20
2020-10-27,0.076,0.481,2020-10-27
2020-11-03,0.099,0.511,2020-11-03
2020-11-10,0.115,0.492,2020-11-10
2020-11-17,0.126,0.421,2020-11-17
2020-11-24,0.144,0.354,2020-11-24
2020-12-01,0.226,0.333,2020-12-01
2020-12-08,0.409,0.363,2020-12-08
2020-12-15,0.779,0.41,2020-12-15
2020-12-22,1.299,0.449,2020-12-22
2020-12-29,1.662,0.438,2020-12-29
