# Percentage of positive individuals from Walker https://doi.org/10.1101/2021.01.13.21249721
# Note: divide by duration of positive (28 days?) to get per-day numbers.
,pct_sgtf,pct_othr,index
2020-10-05,0.052,0.541,2020-10-05
2020-10-12,0.053,0.685,2020-10-12
2020-10-19,0.071,0.888,2020-10-19
2020-10-26,0.083,1.105,2020-10-26
2020-11-02,0.092,1.23,2020-11-02
2020-11-09,0.105,1.23,2020-11-09
2020-11-16,0.119,1.179,2020-11-16
2020-11-23,0.135,1.136,2020-11-23
2020-11-30,0.162,1.095,2020-11-30
2020-12-07,0.204,1.044,2020-12-07
2020-12-14,0.29,0.986,2020-12-14
2020-12-21,0.482,0.94,2020-12-21
2020-12-28,0.838,0.961,2020-12-28
