# Percentage of positive individuals from Walker https://doi.org/10.1101/2021.01.13.21249721
# Note: divide by duration of positive (28 days?) to get per-day numbers.
,pct_sgtf,pct_othr,index
2020-10-05,0.081,0.328,2020-10-05
2020-10-12,0.09,0.462,2020-10-12
2020-10-19,0.106,0.635,2020-10-19
2020-10-26,0.13,0.685,2020-10-26
2020-11-02,0.151,0.724,2020-11-02
2020-11-09,0.181,0.772,2020-11-09
2020-11-16,0.205,0.707,2020-11-16
2020-11-23,0.23,0.539,2020-11-23
2020-11-30,0.332,0.551,2020-11-30
2020-12-07,0.616,0.603,2020-12-07
2020-12-14,1.322,0.674,2020-12-14
2020-12-21,2.365,0.7,2020-12-21
2020-12-28,2.882,0.662,2020-12-28
