# Percentage of positive individuals from Walker https://doi.org/10.1101/2021.01.13.21249721
# Note: divide by duration of positive (28 days?) to get per-day numbers.
,pct_sgtf,pct_othr,index
2020-10-06,0.077,1.066,2020-10-06
2020-10-13,0.065,1.148,2020-10-13
2020-10-20,0.062,1.216,2020-10-20
2020-10-27,0.071,1.245,2020-10-27
2020-11-03,0.084,1.301,2020-11-03
2020-11-10,0.099,1.416,2020-11-10
2020-11-17,0.118,1.487,2020-11-17
2020-11-24,0.141,1.41,2020-11-24
2020-12-01,0.164,1.198,2020-12-01
2020-12-08,0.203,1.021,2020-12-08
2020-12-15,0.278,0.961,2020-12-15
2020-12-22,0.417,0.953,2020-12-22
2020-12-29,0.583,1.024,2020-12-29
