# Percentage of positive individuals from Walker https://doi.org/10.1101/2021.01.13.21249721
# Note: divide by duration of positive (28 days?) to get per-day numbers.
,pct_sgtf,pct_othr,index
2020-10-06,0.062,0.214,2020-10-06
2020-10-13,0.062,0.249,2020-10-13
2020-10-20,0.065,0.341,2020-10-20
2020-10-27,0.081,0.464,2020-10-27
2020-11-03,0.1,0.576,2020-11-03
2020-11-10,0.1,0.625,2020-11-10
2020-11-17,0.099,0.561,2020-11-17
2020-11-24,0.1,0.429,2020-11-24
2020-12-01,0.1,0.322,2020-12-01
2020-12-08,0.115,0.293,2020-12-08
2020-12-15,0.156,0.335,2020-12-15
2020-12-22,0.212,0.365,2020-12-22
2020-12-29,0.274,0.376,2020-12-29
