# Percentage of positive individuals from Walker https://doi.org/10.1101/2021.01.13.21249721
# Note: divide by duration of positive (28 days?) to get per-day numbers.
,pct_sgtf,pct_othr,index
2020-10-05,0.037,0.421,2020-10-05
2020-10-12,0.033,0.6,2020-10-12
2020-10-19,0.039,0.859,2020-10-19
2020-10-26,0.05,1.095,2020-10-26
2020-11-02,0.068,1.234,2020-11-02
2020-11-09,0.096,1.388,2020-11-09
2020-11-16,0.117,1.401,2020-11-16
2020-11-23,0.116,1.226,2020-11-23
2020-11-30,0.121,0.998,2020-11-30
2020-12-07,0.15,0.854,2020-12-07
2020-12-14,0.215,0.83,2020-12-14
2020-12-21,0.395,0.843,2020-12-21
2020-12-28,0.637,0.803,2020-12-28
